# cpu1
# parameters:
# linear_size: 1000
# temperature: 2.240000
#temp_start: 0.000000
# coupling: 1.000000
# repetitions: 1
# simulation_t_max: 2500
# thermalization_time: 0
# time_between_measurements: 2
# base_random_seed: 1000
# extra:
# area: 1000000
# active_spins_excluding_boundaries:996004
# columns: MC time -- magnetization
# simulation 1
#    waiting thermalization for the first 0 sim steps
#    end thermalization
0 -0.924040
2 -0.845011
4 -0.813748
6 -0.797017
8 -0.786672
10 -0.779109
12 -0.771117
14 -0.765854
16 -0.761734
18 -0.761067
20 -0.759419
22 -0.760571
24 -0.758019
26 -0.759760
28 -0.758957
30 -0.756780
32 -0.753931
34 -0.751240
36 -0.750065
38 -0.745957
40 -0.741449
42 -0.739881
44 -0.738023
46 -0.739023
48 -0.735260
50 -0.736784
52 -0.737477
54 -0.741192
56 -0.739822
58 -0.737210
60 -0.736818
62 -0.735989
64 -0.733294
66 -0.731087
68 -0.730852
70 -0.730405
72 -0.730535
74 -0.729222
76 -0.730770
78 -0.729132
80 -0.729475
82 -0.731150
84 -0.729881
86 -0.729553
88 -0.726435
90 -0.725608
92 -0.727186
94 -0.728969
96 -0.729142
98 -0.729067
100 -0.728583
102 -0.727979
104 -0.727120
106 -0.725367
108 -0.725091
110 -0.722523
112 -0.723122
114 -0.723525
116 -0.720583
118 -0.720909
120 -0.723266
122 -0.723903
124 -0.725106
126 -0.723569
128 -0.725413
130 -0.723106
132 -0.725702
134 -0.726644
136 -0.727112
138 -0.725606
140 -0.726632
142 -0.725624
144 -0.723220
146 -0.721780
148 -0.722724
150 -0.721324
152 -0.721067
154 -0.722533
156 -0.724752
158 -0.722720
160 -0.720451
162 -0.719236
164 -0.719851
166 -0.720467
168 -0.721485
170 -0.721272
172 -0.723244
174 -0.719100
176 -0.716200
178 -0.719453
180 -0.720344
182 -0.718810
184 -0.718525
186 -0.718736
188 -0.717977
190 -0.715391
192 -0.713989
194 -0.712112
196 -0.712405
198 -0.711069
200 -0.712505
202 -0.714521
204 -0.711017
206 -0.714847
208 -0.713015
210 -0.712569
212 -0.712423
214 -0.712455
216 -0.712947
218 -0.711459
220 -0.713377
222 -0.714929
224 -0.714075
226 -0.713194
228 -0.711330
230 -0.710877
232 -0.713716
234 -0.713218
236 -0.713971
238 -0.711168
240 -0.710170
242 -0.712098
244 -0.712539
246 -0.712015
248 -0.709622
250 -0.710585
252 -0.710698
254 -0.710399
256 -0.712594
258 -0.715459
260 -0.717146
262 -0.719501
264 -0.721077
266 -0.720156
268 -0.720511
270 -0.719732
272 -0.716626
274 -0.717425
276 -0.715764
278 -0.718023
280 -0.716947
282 -0.719511
284 -0.721037
286 -0.721278
288 -0.719013
290 -0.717471
292 -0.712822
294 -0.711630
296 -0.713670
298 -0.713702
300 -0.713762
302 -0.716740
304 -0.718393
306 -0.718136
308 -0.718768
310 -0.718383
312 -0.722033
314 -0.724471
316 -0.725909
318 -0.725043
320 -0.724925
322 -0.724110
324 -0.724057
326 -0.723027
328 -0.721419
330 -0.719334
332 -0.720170
334 -0.721517
336 -0.722708
338 -0.723614
340 -0.724411
342 -0.721091
344 -0.721393
346 -0.720553
348 -0.719160
350 -0.719124
352 -0.717676
354 -0.719375
356 -0.721202
358 -0.719644
360 -0.719700
362 -0.720969
364 -0.718148
366 -0.716375
368 -0.717355
370 -0.717786
372 -0.717800
374 -0.716804
376 -0.718808
378 -0.719575
380 -0.717989
382 -0.717668
384 -0.716361
386 -0.720308
388 -0.721666
390 -0.720690
392 -0.721535
394 -0.724774
396 -0.721009
398 -0.718838
400 -0.718469
402 -0.720499
404 -0.720857
406 -0.721102
408 -0.721461
410 -0.720035
412 -0.713907
414 -0.717236
416 -0.718551
418 -0.719644
420 -0.717696
422 -0.716923
424 -0.716328
426 -0.716776
428 -0.718879
430 -0.719581
432 -0.719067
434 -0.721043
436 -0.723545
438 -0.721740
440 -0.722081
442 -0.724383
444 -0.722967
446 -0.721513
448 -0.719865
450 -0.717682
452 -0.717188
454 -0.716618
456 -0.716116
458 -0.714511
460 -0.713772
462 -0.715529
464 -0.713172
466 -0.712310
468 -0.714712
470 -0.714379
472 -0.714778
474 -0.718575
476 -0.717216
478 -0.713377
480 -0.710100
482 -0.711638
484 -0.710859
486 -0.713371
488 -0.715194
490 -0.718198
492 -0.713453
494 -0.714425
496 -0.712971
498 -0.712180
500 -0.714132
502 -0.715479
504 -0.714541
506 -0.712716
508 -0.710853
510 -0.715503
512 -0.715094
514 -0.714108
516 -0.712294
518 -0.710606
520 -0.709696
522 -0.712274
524 -0.709204
526 -0.707337
528 -0.705463
530 -0.706849
532 -0.706531
534 -0.710674
536 -0.711933
538 -0.713025
540 -0.715353
542 -0.714700
544 -0.714353
546 -0.714381
548 -0.717672
550 -0.718915
552 -0.715349
554 -0.717019
556 -0.716224
558 -0.718194
