T,M,err
1.420000,-0.972493,0.000000
1.460000,-0.970642,0.000546
1.520000,-0.967253,0.000646
1.560000,-0.964626,0.000488
1.600000,-0.961546,0.000546
1.640000,-0.958136,0.000488
1.660000,-0.956262,0.000345
1.720000,-0.949762,0.000846
1.760000,-0.944651,0.000732
1.780000,-0.941848,0.000488
1.820000,-0.935657,0.000423
1.840000,-0.932453,0.000732
1.860000,-0.928696,0.000598
1.880000,-0.924890,0.000423
1.899999,-0.920768,0.000244
1.919999,-0.916406,0.000691
1.939999,-0.911512,0.000488
1.979999,-0.901202,0.000598
1.999999,-0.895273,0.000598
2.020000,-0.889090,0.000946
2.039999,-0.882146,0.000423
2.059999,-0.874735,0.000880
2.079999,-0.866635,0.001171
2.099999,-0.857486,0.000977
2.119999,-0.847775,0.000977
2.139999,-0.836658,0.001145
2.159999,-0.824275,0.001402
2.179999,-0.810457,0.001859
2.199999,-0.793840,0.002878
2.219999,-0.772609,0.004222
2.239999,-0.749731,0.006394
2.259999,-0.719395,0.009701
2.279999,-0.679781,0.017211
2.299999,-0.625524,0.023225
2.319999,-0.560393,0.030131
2.339999,-0.465551,0.044226
2.359999,-0.387402,0.038355
2.379999,-0.312197,0.039096
2.399999,-0.249083,0.031262
2.419999,-0.203428,0.027699
2.439999,-0.170791,0.023057
2.459999,-0.143208,0.017895
2.479999,-0.127298,0.016189
2.499999,-0.114112,0.012614
2.519999,-0.103440,0.011038
2.539999,-0.091938,0.009687
2.559999,-0.087924,0.009628
2.579999,-0.081369,0.006847
2.599999,-0.076280,0.007836
2.619999,-0.071958,0.006656
2.639999,-0.066949,0.005739
2.659999,-0.064135,0.005885
2.679999,-0.060731,0.005213
2.699999,-0.057676,0.004713
2.719999,-0.055951,0.004365
2.739999,-0.053528,0.004174
2.759999,-0.051167,0.003790
2.779999,-0.049323,0.003619
2.799999,-0.047656,0.003214
2.819999,-0.046059,0.003176
2.839999,-0.043785,0.003093
2.859999,-0.043088,0.003238
2.879999,-0.041685,0.002719
2.899999,-0.039719,0.002440
2.919999,-0.039054,0.002606
2.939999,-0.037745,0.002690
2.959999,-0.036656,0.002780
2.979999,-0.035651,0.002516
2.999999,-0.034517,0.002237
3.019999,-0.033596,0.002368
3.039999,-0.032314,0.002281
3.059999,-0.032034,0.002022
3.079998,-0.031379,0.001990
3.099998,-0.030665,0.002009
